,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price
80,FRESHBUS,Electric A/C Seater (2+2),11:20,06h 35m,17:55,4.6,499
81,FRESHBUS,Electric A/C Seater (2+2),00:20,06h 10m,06:30,4.5,549
82,AdYolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),06:55,05h 48m,12:43,4.2,INR 350
83,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:55,06h 50m,05:45,4.4,INR 479
84,FRESHBUS,Electric A/C Seater (2+2),23:20,06h 25m,05:45,4.5,549
85,SAMANVI CITICONNECT,Non A/C Seater / Sleeper (2+1),19:10,07h 20m,02:30,4.1,INR 489
86,Sri KVR Travels,A/C Sleeper (2+1),22:30,06h 55m,05:25,4.5,INR 699
87,IntrCity SmartBus,AC Sleeper (2+1),23:25,06h 40m,06:05,4.4,INR 769
88,FRESHBUS,Electric A/C Seater (2+2),12:10,06h 35m,18:45,4.5,499
89,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06h 31m,06:30,4.4,INR 889
90,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:05,08h 00m,06:05,4.4,INR 499
91,NueGo,Electric A/C Seater (2+2),22:30,07h 30m,06:00,4.3,INR 399
92,Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,06h 27m,06:05,4.4,440
93,FRESHBUS,Electric A/C Seater (2+2),22:35,06h 30m,05:05,4.5,649
94,NueGo,Electric A/C Seater (2+2),22:35,06h 40m,05:15,4.4,INR 382
95,FRESHBUS,Electric A/C Seater (2+2),12:50,06h 15m,19:05,4.6,499
96,Svkdt travels,A/C Sleeper (2+1),22:30,07h 20m,05:50,4.3,INR 789
97,NueGo,Electric A/C Seater (2+2),16:00,07h 00m,23:00,4.3,INR 349
98,NueGo,Electric A/C Seater (2+2),13:30,06h 40m,20:10,4.3,INR 349
99,NueGo,Electric A/C Seater (2+2),05:00,06h 05m,11:05,4.3,INR 373
100,IntrCity SmartBus,A/C Seater / Sleeper (2+1),00:15,06h 10m,06:25,4.3,INR 539
101,NueGo,Electric A/C Seater (2+2),10:00,06h 25m,16:25,4.2,INR 349
102,Zingbus Plus,A/C Seater / Sleeper (2+1),23:03,06h 27m,05:30,4.6,411
103,Sri Durga Malleswari Travels,A/C Sleeper (2+1),23:10,06h 15m,05:25,4.3,713
104,LVR Travels,Non A/C Seater / Sleeper (2+1),22:13,06h 52m,05:05,5.0,449
105,NueGo,Electric A/C Seater/Sleeper (2+1),22:00,07h 10m,05:10,4.2,INR 539
106,NueGo,Electric A/C Seater (2+2),12:00,06h 25m,18:25,4.2,INR 349
107,BSR Tours And Travels,A/C Seater / Sleeper (2+1),19:10,07h 20m,02:30,4.5,INR 610
108,NueGo,Electric A/C Seater/Sleeper (2+1),23:00,07h 00m,06:00,4.1,INR 496
109,NueGo,Electric A/C Seater (2+2),23:50,06h 40m,06:30,4.2,INR 382
110,Yolo Bus,A/C Seater / Sleeper (2+1),22:46,06h 38m,05:24,4.2,INR 450
111,PRK Travels,Non A/C Seater / Sleeper (2+1),22:13,07h 12m,05:25,4.0,INR 489
112,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06h 20m,06:05,4.1,INR 699
113,NueGo,Electric A/C Seater (2+2),23:15,07h 20m,06:35,4.3,INR 455
114,Svkdt travels,A/C Seater / Sleeper (2+1),23:35,05h 55m,05:30,4.1,INR 480
