Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",City Express Travels,A/C Sleeper (2+1),23:40,06h 20m,06:00,4.6,700,12 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Divya Transport,A/C Sleeper (2+1),22:30,06h 55m,05:25,3.7,3599,30 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Apple Travels,Non A/C Seater / Sleeper (2+1),23:20,06h 25m,05:45,3.6,INR 600,4 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",VINOTH TRAVELS,VE A/C Sleeper (2+1),23:50,05h 35m,05:25,3.3,700,8 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",SRI MUTHU JAYAM TRAVELS,Non A/C Seater / Sleeper (2+1),23:45,06h 40m,06:25,4.1,INR 449,9 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",ASR TRANZ,Bharat Benz A/C Sleeper (2+1),23:35,06h 25m,06:00,3.6,INR 790,13 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",New United Travels,A/C Sleeper (2+1),23:30,06h 30m,06:00,4.1,800,1 Seat available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",ALIF Travels,NON A/C Sleeper (2+1),23:05,06h 30m,05:35,4.5,617,13 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",SPS Luxury Travels,A/C Sleeper (2+1),22:15,05h 35m,03:50,3.7,INR 849,1 Seat available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Bombay Raja Road Links,A/C Sleeper (2+1),23:55,06h 30m,06:25,4.2,3399,30 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",RGL Travels,Non A/C Seater / Sleeper (2+1),23:40,06h 30m,06:10,N/A,INR 750,5 Seats available
